PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=51 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=54 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=54 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=54 time=27.3 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=54 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=54 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=54 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=54 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=54 time=33.4 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=54 time=20.1 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=54 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=54 time=16.8 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=54 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=71 ttl=54 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=72 ttl=54 time=17.7 ms
64 bytes from 8.8.8.8: icmp_seq=73 ttl=54 time=17.6 ms
64 bytes from 8.8.8.8: icmp_seq=74 ttl=54 time=21.0 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=54 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=54 time=19.7 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=54 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=54 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=54 time=33.6 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=54 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=54 time=19.9 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=54 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=54 time=19.7 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=54 time=15.7 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=54 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=54 time=37.0 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=54 time=21.0 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=54 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=54 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=54 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=54 time=18.1 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=54 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=54 time=31.7 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=54 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=54 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=118 ttl=54 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=120 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=121 ttl=54 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=122 ttl=54 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=123 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=124 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=125 ttl=54 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=126 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=127 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=128 ttl=54 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=129 ttl=54 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=130 ttl=54 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=131 ttl=54 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=132 ttl=54 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=133 ttl=54 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=134 ttl=54 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=135 ttl=54 time=17.1 ms
64 bytes from 8.8.8.8: icmp_seq=136 ttl=54 time=21.0 ms
64 bytes from 8.8.8.8: icmp_seq=137 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=138 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=139 ttl=54 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=140 ttl=54 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=141 ttl=54 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=142 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=143 ttl=54 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=144 ttl=54 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=145 ttl=54 time=18.6 ms
64 bytes from 8.8.8.8: icmp_seq=146 ttl=54 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=147 ttl=54 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=148 ttl=54 time=20.6 ms
64 bytes from 8.8.8.8: icmp_seq=149 ttl=54 time=19.0 ms
64 bytes from 8.8.8.8: icmp_seq=150 ttl=54 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=151 ttl=54 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=152 ttl=54 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=153 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=154 ttl=54 time=26.7 ms
